X: 0, Y: 0, Z: 0
X: 152, Y: 112, Z: -23156
X: 46, Y: 58, Z: -18689
X: -61, Y: 51, Z: -17679
X: 51, Y: 35, Z: -17470
X: 230, Y: 44, Z: -16649
X: 76, Y: 79, Z: -15612
X: -88, Y: 40, Z: -14296
X: -158, Y: 38, Z: -14485
X: -62, Y: 43, Z: -14933
X: -155, Y: 96, Z: -16942
X: -232, Y: 15, Z: -16846
X: 91, Y: 33, Z: -11789
X: 47, Y: -43, Z: -6094
X: 83, Y: -15, Z: -3660
X: 165, Y: -11, Z: -3143
X: 27, Y: -63, Z: -3667
X: -26, Y: -20, Z: -3202
X: 17, Y: -2, Z: -3797
X: 158, Y: -43, Z: -5051
X: 125, Y: -6, Z: -5703
X: 184, Y: -32, Z: -6184
X: -39, Y: 12, Z: -7010
X: -191, Y: -60, Z: -5128
X: -85, Y: -18, Z: -2758
X: 74, Y: -64, Z: -518
X: 129, Y: -38, Z: -111
X: 20, Y: -26, Z: -229
X: -99, Y: -27, Z: -224
X: -60, Y: -39, Z: 68
X: -112, Y: 1, Z: 428
X: -159, Y: -52, Z: 2587
X: -107, Y: -66, Z: 6047
X: 2, Y: -96, Z: 8347
X: 99, Y: -72, Z: 11329
X: 41, Y: -135, Z: 12752
X: -78, Y: -140, Z: 13062
X: -136, Y: -96, Z: 12787
X: 76, Y: -104, Z: 13182
X: 166, Y: -61, Z: 14039
X: 260, Y: -120, Z: 14927
X: 200, Y: -143, Z: 16225
X: 113, Y: -74, Z: 17932
X: -9, Y: -104, Z: 18883
X: -23, Y: -123, Z: 20384
X: 44, Y: -124, Z: 21030
X: 154, Y: -144, Z: 21689
X: -30, Y: -118, Z: 22872
X: -298, Y: -91, Z: 21998
X: -238, Y: -78, Z: 18596
X: -40, Y: -110, Z: 14405
X: -23, Y: -102, Z: 12858
X: -71, Y: -108, Z: 14403
X: -58, Y: -100, Z: 16748
X: -152, Y: -68, Z: 16461
X: -95, Y: -104, Z: 14521
X: -51, Y: -96, Z: 11687
X: 110, Y: -130, Z: 10950
X: 139, Y: -57, Z: 13396
X: 246, Y: -140, Z: 18029
X: 181, Y: -130, Z: 18506
X: -45, Y: -103, Z: 18096
X: -36, Y: -89, Z: 18813
X: 15, Y: -128, Z: 16568
X: 64, Y: -122, Z: 15670
X: 96, Y: -58, Z: 13905
X: 87, Y: -99, Z: 12765
X: -17, Y: -30, Z: 14185
X: -89, Y: -88, Z: 16922
X: -114, Y: -62, Z: 19332
X: -55, Y: -85, Z: 22176
X: 51, Y: -100, Z: 22499
X: -9, Y: -103, Z: 20828
X: -117, Y: -61, Z: 20530
X: -88, Y: -81, Z: 22071
X: -86, Y: -98, Z: 23063
X: -68, Y: -75, Z: 21046
X: 42, Y: -99, Z: 21144
X: 89, Y: -121, Z: 20836
X: 6, Y: -92, Z: 21351
X: -3, Y: -114, Z: 20948
X: -59, Y: -57, Z: 20667
X: -241, Y: -38, Z: 21441
X: -326, Y: -57, Z: 22430
X: -17, Y: -147, Z: 23230
X: -14, Y: -111, Z: 21862
X: -51, Y: -63, Z: 19831
X: 158, Y: -54, Z: 17433
X: 274, Y: -116, Z: 17787
X: 11, Y: -85, Z: 18142
X: -133, Y: -97, Z: 19158
X: -67, Y: -84, Z: 18903
X: -101, Y: -73, Z: 17745
X: -17, Y: -67, Z: 15277
X: -173, Y: -2, Z: 11772
X: -245, Y: -29, Z: 9659
X: -224, Y: -85, Z: 8115
X: -220, Y: -46, Z: 7366
X: -116, Y: -109, Z: 7102
X: -45, Y: -65, Z: 7367
X: -108, Y: -73, Z: 6657
X: -4, Y: -65, Z: 5917
X: 79, Y: -104, Z: 5356
X: 113, Y: -91, Z: 4111
X: 19, Y: -17, Z: 3548
X: 48, Y: -102, Z: 4645
X: 28, Y: -66, Z: 4442
X: -5, Y: -58, Z: 3151
X: 63, Y: -101, Z: 2055
X: 24, Y: -46, Z: 1538
X: 37, Y: -46, Z: 1445
X: 36, Y: -15, Z: 1009
X: 31, Y: -55, Z: 773
X: 36, Y: -76, Z: 717
X: 26, Y: -13, Z: 520
X: -7, Y: -15, Z: 145
X: -48, Y: -60, Z: 26
X: -44, Y: -54, Z: 47
X: -32, Y: -46, Z: -1
X: -35, Y: 7, Z: -16
X: -2, Y: -65, Z: -77
X: -20, Y: -23, Z: -236
X: 19, Y: -38, Z: -591
X: -15, Y: -31, Z: -876
X: -41, Y: -35, Z: -813
X: -69, Y: -35, Z: -664
X: -38, Y: 12, Z: -698
X: -51, Y: 2, Z: -822
X: -76, Y: -12, Z: -1155
X: -43, Y: 1, Z: -1784
X: -65, Y: -26, Z: -2509
X: -32, Y: -30, Z: -3548
X: -12, Y: -52, Z: -5583
X: -13, Y: -3, Z: -8629
X: 45, Y: -26, Z: -10453
X: 111, Y: 6, Z: -11772
X: 225, Y: 15, Z: -14069
X: 295, Y: 2, Z: -17850
X: 414, Y: 17, Z: -20574
X: 268, Y: -30, Z: -20108
X: 177, Y: -9, Z: -19186
X: -341, Y: 3, Z: -18695
X: -233, Y: -40, Z: -19139
X: -94, Y: 22, Z: -20040
X: -9, Y: 13, Z: -19869
X: 38, Y: 22, Z: -19316
X: 221, Y: -56, Z: -18541
X: 171, Y: -40, Z: -18424
X: -209, Y: 4, Z: -17784
X: -252, Y: 9, Z: -17871
X: 27, Y: 11, Z: -18648
X: -53, Y: 26, Z: -19778
X: -74, Y: 28, Z: -20846
X: -33, Y: 21, Z: -21990
X: 10, Y: -53, Z: -21345
X: 69, Y: 19, Z: -20808
X: -80, Y: -32, Z: -21156
X: -64, Y: 2, Z: -22587
X: -47, Y: -19, Z: -22771
X: -38, Y: -2, Z: -21753
X: 65, Y: -5, Z: -21578
X: 85, Y: 73, Z: -21025
X: 31, Y: -30, Z: -20331
X: 86, Y: 48, Z: -20259
X: -15, Y: 29, Z: -19779
X: 57, Y: 66, Z: -19489
X: 69, Y: 64, Z: -20531
X: -17, Y: 42, Z: -21861
X: -72, Y: 80, Z: -22693
X: -146, Y: 4, Z: -22036
X: -130, Y: 93, Z: -22612
X: -207, Y: 91, Z: -22625
X: -148, Y: 90, Z: -21484
X: -81, Y: 44, Z: -22338
X: -4, Y: 99, Z: -22410
X: 44, Y: 78, Z: -21016
X: -63, Y: 62, Z: -21053
X: 60, Y: 52, Z: -22018
X: 170, Y: -4, Z: -20760
X: -20, Y: 41, Z: -18867
X: -31, Y: 59, Z: -18075
X: -47, Y: 49, Z: -16713
X: -7, Y: 21, Z: -14721
X: 147, Y: 7, Z: -14945
X: -137, Y: 68, Z: -16974
X: -55, Y: 43, Z: -17049
X: 35, Y: -3, Z: -13504
X: 31, Y: -36, Z: -9745
X: 68, Y: -16, Z: -4804
X: 117, Y: -22, Z: -2806
X: 64, Y: -25, Z: -2833
X: -31, Y: -3, Z: -6182
X: -75, Y: 6, Z: -9876
X: 116, Y: -24, Z: -9442
X: 187, Y: -32, Z: -7028
X: 108, Y: -39, Z: -3538
X: 29, Y: 6, Z: -1204
X: -9, Y: -7, Z: -530
X: -75, Y: -24, Z: -480
X: -51, Y: -17, Z: -1143
X: -14, Y: 7, Z: -503
X: 54, Y: 3, Z: -82
X: 93, Y: -29, Z: -133
X: 56, Y: 11, Z: -1988
X: -15, Y: -65, Z: -5364
X: 16, Y: -10, Z: -5526
X: -19, Y: -33, Z: -2321
X: 25, Y: 13, Z: -665
X: 36, Y: -56, Z: -365
X: -66, Y: -31, Z: -72
X: -97, Y: -38, Z: -39
X: -82, Y: -30, Z: -5
X: -24, Y: -35, Z: 32
X: 9, Y: -80, Z: 21
X: 86, Y: -33, Z: -31
X: 30, Y: -41, Z: 41
X: -45, Y: -8, Z: 21
X: -90, Y: 10, Z: 3
X: -79, Y: -43, Z: 8
X: -98, Y: -34, Z: 14
X: -93, Y: -19, Z: 3
X: 47, Y: -35, Z: -15
X: 54, Y: -42, Z: 44
X: 9, Y: -24, Z: 62
X: -41, Y: -47, Z: 18
X: -71, Y: -9, Z: 29
X: -96, Y: 0, Z: 41
X: -104, Y: -45, Z: 12
X: -32, Y: -18, Z: -2
X: -17, Y: -64, Z: -54
X: -57, Y: -14, Z: -753
X: -179, Y: 2, Z: -1046
X: -207, Y: -24, Z: -816
X: 258, Y: -41, Z: 23
X: 149, Y: -17, Z: -4
X: 28, Y: -47, Z: 61
X: -108, Y: -31, Z: -6
X: -95, Y: -6, Z: 14
X: -71, Y: -49, Z: 15
X: -24, Y: -23, Z: 12
X: -80, Y: -33, Z: 23
X: -87, Y: -37, Z: 11
X: 3, Y: -29, Z: 2
X: -15, Y: -55, Z: 33
X: 0, Y: -40, Z: 12
X: -37, Y: -54, Z: 44
X: 22, Y: -17, Z: 3
X: -29, Y: -25, Z: 0
X: 37, Y: -51, Z: -12
X: 55, Y: -26, Z: -5
X: 40, Y: -37, Z: 1
X: 44, Y: 15, Z: 65
X: 28, Y: -45, Z: 21
X: -33, Y: -58, Z: 31
X: -35, Y: -41, Z: 11
X: -19, Y: -48, Z: 3
X: 117, Y: -81, Z: 28
X: 52, Y: -34, Z: 18
X: -32, Y: -17, Z: 15
X: -82, Y: -59, Z: 18
X: -73, Y: -53, Z: 2
X: -58, Y: -18, Z: 39
X: -5, Y: -53, Z: -33
X: 0, Y: -45, Z: -6
X: 8, Y: -33, Z: 6
X: -23, Y: -40, Z: -1
X: -4, Y: -20, Z: 17
X: 40, Y: -8, Z: 13
X: 16, Y: -13, Z: -2
