X: 19, Y: -40, Z: 24
X: -34, Y: -15, Z: 5
X: -5, Y: -12, Z: 31
X: -7, Y: -54, Z: 13
X: -25, Y: -30, Z: 27
X: -10, Y: -50, Z: -60
X: -16, Y: -48, Z: 8
X: 14, Y: -42, Z: 10
X: -19, Y: -45, Z: 1
X: -17, Y: -47, Z: -20
X: -10, Y: -28, Z: 33
X: 17, Y: -27, Z: 29
X: 8, Y: -46, Z: 14
X: 5, Y: -5, Z: 4
X: -25, Y: -25, Z: -9
X: -4, Y: -62, Z: -21
X: 6, Y: -64, Z: -10
X: 9, Y: -44, Z: -37
X: 3, Y: -57, Z: 13
X: 8, Y: -33, Z: 4
X: 10, Y: -40, Z: 37
X: -30, Y: -25, Z: 26
X: -40, Y: -35, Z: 32
X: 0, Y: -53, Z: 10
X: 29, Y: -55, Z: -8
X: -34, Y: -42, Z: 22
X: 10, Y: -16, Z: 26
X: 24, Y: -20, Z: -4
X: 26, Y: -35, Z: 6
X: 0, Y: -50, Z: 26
X: 5, Y: -41, Z: 3
X: -10, Y: -19, Z: -3
X: -11, Y: -43, Z: -10
X: -14, Y: -2, Z: 29
X: 28, Y: -40, Z: 9
X: -32, Y: -42, Z: 27
X: -32, Y: -21, Z: 41
X: 8, Y: -44, Z: 35
X: 0, Y: -54, Z: 29
X: 18, Y: -84, Z: -17
X: 0, Y: -54, Z: 22
X: 49, Y: -70, Z: -12
X: -24, Y: -65, Z: 26
X: -1, Y: -82, Z: 21
X: -13, Y: -33, Z: 41
X: 25, Y: -43, Z: -16
X: 3, Y: -35, Z: -9
X: -20, Y: -38, Z: -10
X: 5, Y: -47, Z: 9
X: 10, Y: -31, Z: 36
X: 0, Y: -51, Z: -28
X: 2, Y: -89, Z: 2
X: 10, Y: -26, Z: 8
X: -2, Y: -58, Z: 6
X: -18, Y: -13, Z: 25
X: -24, Y: -51, Z: 1
X: 5, Y: -35, Z: 18
X: -14, Y: -62, Z: -5
X: -8, Y: -28, Z: -16
X: -6, Y: -13, Z: 16
X: -17, Y: -52, Z: -16
X: 12, Y: -40, Z: -16
X: -12, Y: -33, Z: 24
X: 11, Y: -54, Z: -4
X: 6, Y: -6, Z: 3
X: -28, Y: -21, Z: -8
X: -12, Y: -47, Z: 29
X: 14, Y: -49, Z: 28
X: 2, Y: -1, Z: 4
X: -4, Y: -25, Z: 38
X: -14, Y: 6, Z: 24
X: -25, Y: -41, Z: 17
X: -11, Y: -73, Z: 11
X: -17, Y: -44, Z: 26
X: -27, Y: -39, Z: 27
X: 21, Y: -30, Z: 1
X: 17, Y: -67, Z: 8
X: -16, Y: -8, Z: 32
X: 2, Y: -35, Z: -3
X: 0, Y: -6, Z: 31
X: 3, Y: -59, Z: -2
X: 3, Y: -18, Z: 1
X: 11, Y: -64, Z: 41
X: 10, Y: -40, Z: 11
X: -21, Y: -11, Z: 21
X: 2, Y: -70, Z: -13
X: -21, Y: -7, Z: -8
X: -7, Y: -18, Z: 3
X: -10, Y: -82, Z: 25
X: -6, Y: -13, Z: 65
X: -14, Y: -15, Z: -4
X: -3, Y: -65, Z: -17
X: -3, Y: -11, Z: -4
X: -15, Y: 1, Z: 0
X: 14, Y: -59, Z: -13
X: -8, Y: -27, Z: 5
X: -9, Y: -73, Z: 9
X: 13, Y: -20, Z: 46
X: -12, Y: -45, Z: 36
X: 8, Y: -16, Z: -43
X: 19, Y: -89, Z: -37
X: 6, Y: -71, Z: 0
X: -3, Y: -29, Z: 57
X: -7, Y: -39, Z: 62
X: -18, Y: -49, Z: 10
X: 2, Y: -83, Z: 10
X: -26, Y: -38, Z: 25
X: 11, Y: -24, Z: 37
X: -12, Y: -11, Z: 11
X: -20, Y: -56, Z: 22
X: 18, Y: -31, Z: -21
X: -21, Y: -15, Z: 32
X: 8, Y: -48, Z: 3
X: 9, Y: -61, Z: 16
X: 7, Y: -65, Z: -27
X: -11, Y: -50, Z: 0
X: -2, Y: -19, Z: -12
X: -3, Y: -79, Z: -6
X: -25, Y: -40, Z: -11
X: -1, Y: -48, Z: -7
X: -20, Y: 18, Z: 48
X: -33, Y: -59, Z: 17
X: 2, Y: -39, Z: 32
X: 6, Y: -37, Z: 14
X: -17, Y: -40, Z: 23
X: -11, Y: -39, Z: 11
X: -29, Y: -19, Z: -1
X: 12, Y: -7, Z: 4
X: 1, Y: -11, Z: 47
X: 12, Y: -40, Z: 17
X: 30, Y: -49, Z: 11
X: 1, Y: -43, Z: 19
X: -22, Y: -76, Z: 9
X: -34, Y: -54, Z: -8
X: -1, Y: -73, Z: -2
X: -10, Y: -35, Z: 16
X: 21, Y: -78, Z: 23
X: 13, Y: -86, Z: 21
X: 5, Y: -70, Z: 33
X: -19, Y: -51, Z: 31
X: -3, Y: -19, Z: 16
X: -27, Y: -21, Z: 29
X: 0, Y: -49, Z: -33
X: 15, Y: -72, Z: 3
X: 23, Y: -92, Z: 29
X: -4, Y: -64, Z: 43
X: -19, Y: -65, Z: -17
X: -24, Y: -35, Z: 17
X: -2, Y: -52, Z: -21
X: -26, Y: -75, Z: -19
X: -18, Y: -21, Z: 0
X: -13, Y: -50, Z: 21
X: -19, Y: -58, Z: -1
X: -19, Y: -25, Z: 0
X: -18, Y: -15, Z: 2
X: 8, Y: -46, Z: 2
X: 13, Y: -36, Z: 5
X: 29, Y: -65, Z: 12
X: -19, Y: -21, Z: -8
X: 27, Y: -41, Z: -4
X: -20, Y: -6, Z: -2
X: -3, Y: -57, Z: 1
X: -1, Y: -49, Z: 11
X: 14, Y: -56, Z: 33
X: 21, Y: -8, Z: 17
X: -14, Y: -82, Z: 32
X: 7, Y: -58, Z: 15
X: -5, Y: 7, Z: -17
X: -5, Y: -82, Z: 17
X: 6, Y: -61, Z: 30
X: 13, Y: -51, Z: 15
X: -5, Y: -60, Z: 22
X: -37, Y: -56, Z: 15
X: -6, Y: -67, Z: 23
